20000,22,-10000,1
244,35,0,66
288,44,247,190
354,37,545,335
386,46,985,437
332,35,1513,570
9,645,1941,22
18,571,1937,23
32,487,1930,22
48,393,1922,22
56,290,1919,23
63,189,1915,22
87,93,1904,23/20000,9,-10000,1
306,4,-500,34
304,5,-500,94
306,2,-500,196
306,7,-500,334
305,7,-500,459
1914,3,-184,650
353,5,1420,34
355,8,1416,91
345,6,1420,195
331,7,1423,329
337,10,1421,456/21277,15,-10000,1
343,23,85,587
371,27,862,597
340,26,-227,504
419,22,-617,423
447,18,-1084,313
430,24,-1521,210
388,18,-1959,148
391,23,-2466,71
452,32,1237,520
416,37,1691,438
456,35,2106,379
475,27,2559,303
393,25,3029,229
341,20,3427,132
406,14,3806,63
167,41,572,448
453,58,3207,592
395,68,-2006,585/21279,1,-10000,1
20000,22,-10000,1
90,20,622,28
175,16,585,95
270,12,544,193
482,8,454,297
253,14,406,378
248,16,756,374
256,16,286,477
291,12,839,494
310,16,92,578
277,15,1023,596
1900,9,-1713,673
1788,7,1165,667
170,13,-1714,570
652,9,-1548,519
516,11,-893,458
219,12,2728,595
645,13,2090,538
448,11,1634,488/226,36,-10000,112
21279,1,-10000,1
247,27,-9655,323
299,40,-9073,514
123,142,-9098,146
213,44,-8722,327
152,135,-8499,479
289,177,-8339,21
185,178,-8031,273
442,37,-7841,542
319,129,-7522,230
172,53,-6741,478
189,73,-7080,489
271,137,-6514,129
436,127,-6352,440
322,52,-6052,237
447,60,-5840,359
599,30,-5440,525
755,25,-5242,241
359,43,-4654,351
432,96,-4348,475
366,76,-3792,309
499,41,-3329,458
158,25,-2963,309
322,44,-3185,168
352,81,-2613,363
264,36,-2374,230
367,39,-2143,566
332,25,-2013,374
389,106,-1503,178
155,17,-1766,210
290,75,-1219,382
323,97,-810,169
404,59,-661,397
360,26,-257,277
250,121,-126,473
215,34,272,441
199,59,334,557
322,78,338,257
418,32,686,135
592,4,20,1
403,15,856,1
269,14,387,101
434,36,1005,325
425,9,1082,511
268,3,1626,242
394,11,1451,130
242,18,2088,518
383,51,1732,428
755,41,2100,187
299,28,2280,320
354,6,2301,504
104,21,3125,379
279,28,2727,372
233,36,2984,163
252,10,2886,570
149,10,3581,383
215,29,3327,254
188,36,3357,497
190,24,3782,229
244,25,3606,121
187,18,4207,478
164,6,3895,494
176,50,4035,189
154,1,4051,416
239,35,4291,248
248,23,4399,84
271,34,4498,414
234,23,4660,552
211,56,4725,294
231,28,4897,451
354,6,4825,188
261,20,5094,361
341,15,5251,478
333,87,5366,141
352,8,5532,353
317,3,5672,499
319,32,5894,407
295,60,6100,505
344,46,6058,196
214,7,6121,292
147,7,5829,226
398,101,6400,402
375,9,6565,571
307,21,6547,245
279,28,6566,144
400,18,6861,363
243,15,7133,477
248,5,7510,211
390,23,7198,189
116,56,7961,346
400,36,7537,347
249,7,7949,478
476,82,7926,124
321,60,8199,369
290,37,8429,533
320,49,8463,163
298,38,8592,302
368,52,8800,440
342,51,8977,147
241,14,9229,290
401,63,9373,404
460,11,9445,613
332,9,9096,597
337,102,9807,394
284,46,9812,221
177,6,9571,276
378,20,10306,285
273,30,10183,518
345,24,10426,380
332,32,10515,149
299,4,10742,477
426,53,10878,254
433,20,11050,335
463,20,11284,472
304,74,11532,163
198,18,11742,324
302,35,11868,469
498,7,-759,354
471,64,-1352,311
188,24,-1757,313
231,31,-1849,448
258,2,-2556,327
90,1,-2799,384
287,49,-3429,314
206,16,-3646,447
153,22,-3957,428
222,1,-4239,241
202,6,-4516,307
265,1,-4993,444
269,55,-5576,250
168,11,-6131,343
207,65,-6366,324
206,24,-6807,268
312,5,-6820,384
216,20,-7098,416
188,15,-7313,505
271,22,-7896,187
207,23,-8345,295
203,19,-8220,443
163,32,-8775,467
199,35,-9345,420
132,3,-8686,148
243,6,-9517,228
191,18,-9980,328
